10	1024	14.128	14.098558	14.093057	14.484322	14.05778
9	512	13.92	14.032051	14.0532	13.97478	13.777227
8	256	14.0471	14.071419	14.505117	14.234437	13.98767
7	128	14.018465	14.039602	14.058033	13.949553	13.993177
6	64	14.008763	13.944576	14.312505	14.295948	13.920448
5	32	14.150161	14.139126	14.872642	14.095913	14.14174
4	16	14.292814	14.372099	14.341787	14.376838	14.323179
3	8	14.868755	15.08424	14.880136	14.859899	14.809642
2	4	15.93459	15.939064	15.938709	15.881922	15.865707
1	2	18.060476	18.165018	17.981827	18.148238	17.941992
0	1	22.400669	22.49816	22.260259	22.293099	22.236229
