Kiowa	(255, 248, 228)
Cheyenne	(255, 248, 218)
Kit Carson	(255, 248, 208)
Yuma	(255, 248, 198)
Washington	(255, 248, 188)
Phillips	(255, 248, 178)
Sedgwick	(255, 248, 168)
Logan	(255, 248, 158)
Morgan	(255, 248, 148)
Baca	(255, 248, 138)
Otero	(255, 248, 128)
Crowley	(255, 248, 118)
Lincoln	(255, 248, 108)
Elbert	(255, 248, 98)
Arapahoe	(255, 248, 88)
Weld	(255, 248, 78)
Adams	(255, 248, 68)
Denver	(255, 248, 58)
Douglas	(255, 248, 48)
El Paso	(255, 248, 38)
Teller	(255, 248, 28)
Pueblo	(255, 248, 18)
Las Animas	(255, 248, 8)
Huerfano	(255, 247, 254)
Costilla	(255, 247, 244)
Conejos	(255, 247, 234)
Alamosa	(255, 247, 224)
Rio Grande	(255, 247, 214)
Custer	(255, 247, 204)
Fremont	(255, 247, 194)
Saguache	(255, 247, 184)
Chaffee	(255, 247, 174)
Gunnison	(255, 247, 164)
Pitkin	(255, 247, 154)
Lake	(255, 247, 144)
Park	(255, 247, 134)
Jefferson	(255, 247, 124)
Gilpin	(255, 247, 114)
Clear Creek	(255, 247, 104)
Summit	(255, 247, 94)
Eagle	(255, 247, 84)
Boulder	(255, 247, 74)
Grand	(255, 247, 64)
Larimer	(255, 247, 54)
Jackson	(255, 247, 44)
Routt	(255, 247, 34)
Moffat	(255, 247, 24)
Rio Blanco	(255, 247, 14)
Garfield	(255, 247, 4)
Delta	(255, 246, 250)
Mesa	(255, 246, 240)
Montrose	(255, 246, 230)
San Juan	(255, 246, 220)
Dolores	(255, 246, 210)
San Miguel	(255, 246, 200)
Ouray	(255, 246, 190)
Hinsdale	(255, 246, 180)
Mineral	(255, 246, 170)
Archuleta	(255, 246, 160)
Broomfield	(255, 246, 150)
Hartford	(255, 246, 140)
Litchfield	(255, 246, 130)
Fairfield	(255, 246, 120)
New Haven	(255, 246, 110)
Middlesex	(255, 246, 100)
New London	(255, 246, 90)
Tolland	(255, 246, 80)
Windham	(255, 246, 70)
New Castle	(255, 246, 60)
Sussex	(255, 246, 50)
Kent	(255, 246, 40)
Bay	(255, 246, 30)
Jackson	(255, 246, 20)
Charlotte	(255, 246, 10)
Lee	(255, 246, 0)
Hendry	(255, 245, 246)
Collier	(255, 245, 236)
Monroe	(255, 245, 226)
MiamiDade	(255, 245, 216)
